name,link_startupeu,link_logo,link_website,website_up,city,region,category,top_3_keywords,business_model,linkedin_global_profile,linkedin_handle,linkedin_valid,instagram_handle,instagram_valid,x_handle,x_valid,founded_year,age,total_funding_listing,headline_count,headlines,headline_financial_count,headline_funding,headline_acquisition_count,headline_bankruptcy_count,headline_non_financial_count,description_writing_score,description_market_readiness_score,description_founder_signal_score,description_word_count,description_jargon_density,description_numeric_evidence_count,status
Finslice,https://www.eu-startups.com/directory/finslice/,https://www.eu-startups.com/wp-content/uploads/2024/10/Logo_weis_Hintergrund-150x27.png,finslice.eu,True,Linz,Upper Austria,FinTech/InsurTech,"['fractional investment', 'tangible assets', 'ETF-like products']",platform,False,,False,finslice_eu,True,finslice_eu,True,2024,1,No funding announced yet,0,[],0,0,0,0,0,8,6,5,85,0.2,0,no_funding
DAIKI,https://www.eu-startups.com/directory/daiki-gmbh/,https://www.eu-startups.com/wp-content/uploads/2024/10/Daiki-logo-150x47.png,dai.ki,True,Vienna,Vienna,Software & Analytics,"['AI', 'compliance', 'governance']",B2B,False,daiki-ai,True,,False,,False,2023,2,No funding announced yet,3,"['Daiki: Wiener AI-Governance-Startup erhält 1,5 Millionen Euro', 'KI-Governance-Startup DAIKI GmbH erhält 1,5 Millionen Euro Seed-Finanzierung', 'Daiki verkündet die Einführung einer AI-Registry zur Vereinfachung des KI-Risikomanagements und der Einhaltung gesetzlicher Vorschriften']",2,1500000,0,0,1,8,6,7,134,0.25,0,funding
CaterMe,https://www.eu-startups.com/directory/caterme/,https://www.eu-startups.com/wp-content/uploads/2024/10/1x1-150x150.png,catermebyschnabls.com,True,Piringsdorf,Burgenland,Professional Services,"['catering', 'customer satisfaction', 'diverse menu']",B2C,False,,False,caterme.online,True,,False,2020,5,No funding announced yet,0,[],0,0,0,0,0,8,8,7,239,0.1,1,no_funding
WasItAI,https://www.eu-startups.com/directory/wasitai/,https://www.eu-startups.com/wp-content/uploads/2024/10/Logo-512x512-1-150x150.png,wasitai.com,True,Vienna,Vienna,Software & Analytics,"['images', 'AI', 'origin']",B2B,False,wasitai,True,,False,wasitai_,True,2024,1,No funding announced yet,0,[],0,0,0,0,0,7,6,5,30,0.1,0,no_funding
RTOPilot,https://www.eu-startups.com/directory/rtopilot/,https://www.eu-startups.com/wp-content/uploads/2024/09/1693021247238-150x150.jpg,rtopilot.com.au,True,Selker,Upper Austria,Education,"['RTO', 'compliance', 'automation']",B2B,False,,False,,False,,False,2024,1,No funding announced yet,0,[],0,0,0,0,0,8,6,5,104,0.25,0,no_funding
Hypertxt,https://www.eu-startups.com/directory/hypertxt/,https://www.eu-startups.com/wp-content/uploads/2024/09/favicon-150x150.png,hypertxt.ai,True,Vienna,Vienna,Software & Analytics,"['content creation', 'SEO-optimized', 'blog posts']",B2B,False,,False,,False,,False,2023,2,Between €100K-€500K,1,['Is Hypertxt the Best Blog Writing AI Assistant So Far?'],0,0,0,0,1,9,7,6,290,0.15,1,unclear
Cimphony,https://www.eu-startups.com/directory/cimphony/,https://www.eu-startups.com/wp-content/uploads/2024/09/agNsxwT_400x400-150x150.jpg,cimphony.ai,True,Thal,Styria,Software & Analytics,"['AI', 'legal', 'startup']",B2B,False,,False,cimphonyai,True,cimphonyai,True,2024,1,No funding announced yet,0,[],0,0,0,0,0,8,6,5,92,0.2,0,no_funding
digna,https://www.eu-startups.com/directory/digna-gmbh/,https://www.eu-startups.com/wp-content/uploads/2024/08/DEXT.AI-Rebrands-to-digna-2-150x69.png,digna.ai,True,Vienna,Vienna,Software & Analytics,"['AI', 'anomaly detection', 'data quality']",B2B,True,dignaai,True,,False,digna_can,True,2020,5,Between €100K-€500K,0,[],0,0,0,0,0,8,6,5,203,0.25,0,unclear
IDCanopy,https://www.eu-startups.com/directory/idcanopy/,https://www.eu-startups.com/wp-content/uploads/2024/08/idcanopylogo-150x148.png,idcanopy.com,True,Vienna,Vienna,FinTech/InsurTech,"['KYC', 'platform', 'integration']",B2B,False,idcanopy,True,,False,,False,2024,1,No funding announced yet,0,[],0,0,0,0,0,8,7,8,263,0.25,0,no_funding
stomey,https://www.eu-startups.com/directory/stomey-og/,https://www.eu-startups.com/wp-content/uploads/2024/08/stomey-logo-quadrat-150x150.jpg,stomey.com,True,Wattens,Tyrol,Software & Analytics,"['design', 'development', 'hosting']",B2B,False,,False,_stomey_,True,,False,2021,4,No funding announced yet,0,[],0,0,0,0,0,7,6,5,174,0.35,0,no_funding
Permar AI Inc.,https://www.eu-startups.com/directory/permar-ai-inc/,https://www.eu-startups.com/wp-content/uploads/2024/06/Permar-Thumbnail-Round-150x150.png,permar.ai,True,Vienna,Vienna,Software & Analytics,"['website optimization', 'automated', 'content generation']",B2B,False,,False,,False,,False,2024,1,Between €100K-€500K,0,[],0,0,0,0,0,8,6,5,290,0.2,0,unclear
Evolushost,https://www.eu-startups.com/directory/evolushost/,https://www.eu-startups.com/wp-content/uploads/2024/06/letter-150x150.png,evolushost.com,True,Vienna,Vienna,Software & Analytics,"['cloud solutions', 'infrastructure', 'dedicated servers']",B2B,False,,False,evolus.it,True,,False,2020,5,No funding announced yet,0,[],0,0,0,0,0,8,8,7,319,0.2,0,no_funding
DreamPetsAI,https://www.eu-startups.com/directory/dreampetsai/,https://www.eu-startups.com/wp-content/uploads/2024/06/Screenshot_2-1-150x145.png,dreampets.ai,True,Eglau,Upper Austria,Software & Analytics,"['pet', 'art', 'DreamPetsAI']",B2C,False,,False,,False,dreampetsai,True,2024,1,No funding announced yet,0,[],0,0,0,0,0,8,8,6,290,0.2,4,no_funding
jeanszilla,https://www.eu-startups.com/directory/jeanszilla/,https://www.eu-startups.com/wp-content/uploads/2024/06/jeanszilla-1-150x150.jpg,jeanszilla.com,True,linz,Upper Austria,e-commerce,"['denim', 'quality', 'style']",B2C,False,,False,jeans.zilla,True,,False,2024,1,No funding announced yet,0,[],0,0,0,0,0,8,5,7,239,0.25,0,no_funding
OneTask,https://www.eu-startups.com/directory/onetask/,https://www.eu-startups.com/wp-content/uploads/2024/06/logo-onetask-150x146.png,onetask.me,True,Selker,Upper Austria,Software & Analytics,"['AI', 'to-do', 'productivity']",B2C,False,,False,onetasks,True,onetask_,True,2024,1,No funding announced yet,1,"['OneTask 2 Tracks All Your To-Dos, but Makes You Single-Task and Focus']",0,0,0,0,1,8,8,6,102,0.25,2,no_funding
WEME Global,https://www.eu-startups.com/directory/weme-global/,https://www.eu-startups.com/wp-content/uploads/2024/06/WEME_Logo_rz_2-150x74.png,wemeglobal.com,True,Salzburg,Salzburg,Software & Analytics,"['technology', 'sustainability', 'energy']",B2B,False,wemeglobal,True,weme_global,True,,False,2019,6,Above €25 million,2,"['WEME Global', 'WEME Global']",0,0,0,0,2,5,3,4,24,0.5,0,unclear
ThinkValue,https://www.eu-startups.com/directory/thinkvalue/,https://www.eu-startups.com/wp-content/uploads/2024/06/favicon.png,thinkvalue.co,True,Vienna,Vienna,FinTech/InsurTech,"['stocks', 'financial modeling', 'analyze']",B2C,False,,False,thinkvalue.es,True,,False,2023,2,Above €25 million,0,[],0,0,0,0,0,6,4,3,12,0.25,0,unclear
SimVenture,https://www.eu-startups.com/directory/simventure/,https://www.eu-startups.com/wp-content/uploads/2024/06/simventure_gmbh_logo-150x150.jpg,simventure.at,True,Linz,Upper Austria,Health,"['digital twins', 'sports', 'simulation']",B2B,False,simventure-gmbh,True,simventuretribe,True,simventure,True,2021,4,Between €1 million-€ 2.5 million,2,"['SimVenture bekommt 2m2m-Investment-Zusage über eine Million Euro', 'SimVenture: Startup aus Oberösterreich entwickelt Wingsuit-Simulator']",1,1000000,0,0,1,7,4,5,30,0.4,0,funding
Seven Bel,https://www.eu-startups.com/directory/seven-bel/,https://www.eu-startups.com/wp-content/uploads/2024/06/download-3-46-150x47.png,sevenbel.com,True,Linz,Upper Austria,Software & Analytics,"['measurement', 'technology', 'sound']",other,False,seven-bel-soundscanner,True,seven_bel_gmbh,True,seven_bel,True,2018,7,Between €500K-€ 1 million,2,"['Seven Bel: 500.000 Euro Investment für Linzer Lärmfotografie-Startup', 'Oberösterreichisches StartupSeven Bel entwickelt Technolgie zur Visualisierung von Schall']",1,500000,0,0,1,5,3,4,5,0.2,0,funding
Principia MBS,https://www.eu-startups.com/directory/principia-mbs/,https://www.eu-startups.com/wp-content/uploads/2024/06/download-2-70-150x150.png,principia-mbs.com,True,St. Martin im Mühlkreis,Upper Austria,Software & Analytics,"['multi-body simulation', 'cloud CAE', 'structural analysis']",B2B,False,principia-mbs,True,,False,,False,2023,2,Above €25 million,0,[],0,0,0,0,0,7,5,4,22,0.5,0,unclear
Praxilla,https://www.eu-startups.com/directory/praxilla/,https://www.eu-startups.com/wp-content/uploads/2024/06/download-1-82-150x19.png,praxilla.io,True,Linz,Upper Austria,Software & Analytics,"['distributed rendering', 'animation', 'affordable']",B2B,False,praxilla,True,praxilla.io,True,praxillaio,True,2023,2,Between €1-€100K,0,[],0,0,0,0,0,8,6,5,22,0.136,0,unclear
N Vision,https://www.eu-startups.com/directory/n-vision/,https://www.eu-startups.com/wp-content/uploads/2024/06/n-vision-150x39.jpg,n-vision.ai,True,Graz,Styria,Software & Analytics,"['AI-powered', 'geospatial', 'map building']",B2B,False,nvision-ai,True,,False,,False,2023,2,Above €25 million,4,"['Hyundai Bestätigt Endlich die Produktion des N Vision 74', 'Hyundai kündigt Produktionsstart des N Vision 74 an', 'Hyundai wird laut Bericht Wasserstoff-Elektro-Sportwagen N Vision 74 realisieren', ""N Vision 74 Konzept von Hyundai Motor begeistert beim Concorso d'Eleganza Villa d'Este 2023""]",4,0,0,0,0,8,6,5,15,0.2,0,probably_funding
money:care,https://www.eu-startups.com/directory/moneycare/,https://www.eu-startups.com/wp-content/uploads/2024/06/download-1-75-150x150.png,moneycare.at,True,Vienna,Vienna,FinTech/InsurTech,"['sustainability', 'impact investing', 'consciously']",B2C,True,money-care,True,moneycare.io,True,,False,2021,4,Between €1-€100K,4,"['money:care: Wiener Startup kooperiert mit deutscher Börsenplattform Onvista', 'Mit gutem Gewissen investieren – money:care und onvista machen es möglich • news', 'money:care - Das Wiener Startup bietet einen schnellen Überblick über die Nachhaltigkeit von Unternehmen', 'Wie das Startup money:care ""Europas größte Community für nachhaltiges Investieren"" werden will']",4,0,0,0,0,8,5,6,24,0.25,0,probably_funding
MetabolizeMe,https://www.eu-startups.com/directory/metabolizeme/,https://www.eu-startups.com/wp-content/uploads/2024/06/Logo-1024x330-1-150x48.jpg,metabolizeme.com,True,Vienna,Vienna,Health,"['metabolism', 'discover', 'health']",B2C,False,metabolizeme,True,metabolizemeofficial,True,,False,2022,3,Between €1 million-€ 2.5 million,1,['MetabolizeMe: Die Stoffwechsel-Analyzer aus Wien'],0,0,0,0,1,5,3,2,4,0.25,0,unclear
logicdev,https://www.eu-startups.com/directory/logicdev/,https://www.eu-startups.com/wp-content/uploads/2024/06/download-79-150x113.png,logicdev.eu,True,Graz,Styria,Software & Analytics,"['Prototyping', 'Proof of concept', 'Hardware design']",B2B,False,,False,logicdev,True,,False,2020,5,Between €500K-€ 1 million,0,[],0,0,0,0,0,4,3,3,19,0.3684210526315789,0,unclear
Easy Month End,https://www.eu-startups.com/directory/easy-month-end/,https://www.eu-startups.com/wp-content/uploads/2024/06/Screenshot_2-150x148.png,easymonthend.com,True,Giga,Upper Austria,FinTech/InsurTech,"['month-end close', 'financial reporting', 'collaboration']",B2B,True,easy-month-end,True,,False,easymonthend,True,2024,1,No funding announced yet,7,"['Dext vs Easy Month End: Simplify Your Month End in 2025', 'Easy Month End', 'Easy Month End', 'Easy Month End Review: Improve Reporting Accuracy in 2025?', 'Easy Month End', 'Easy Month End', 'Easy Month End']",0,0,0,0,6,8,8,6,174,0.25,2,no_funding
infrared.city,https://www.eu-startups.com/directory/infrared.city,https://www.eu-startups.com/wp-content/uploads/2024/10/Captura-de-pantalla-2024-10-14-a-les-15.29.38-150x50.png,infrared.city,True,Vienna,Vienna,Software & Analytics,"['intelligent', 'resilient', 'design']",platform,False,infrared-city,True,infrared.city,True,infraredcity,True,2023,2,Between €1 million-€ 2.5 million,2,"['Infrared City: 1 Mio. Euro um KI-Klimasimulationssoftware für nachhaltige Städte zu fördern', '7 neue Startups: Regpit, infrared.city, skinsure, KittyPits, hyper, wobie, Way']",1,1000000,0,0,1,7,5,6,17,0.235,0,funding
ESG Chain,https://www.eu-startups.com/directory/esg-chain/,https://www.eu-startups.com/wp-content/uploads/2024/06/download-65-150x60.png,esg-chain.com,True,Vienna,Vienna,Software & Analytics,"['ESG', 'Supply Chain', 'Data Tracing']",B2B,False,esg-chain,True,esg_chain,True,,False,2022,3,Between €5 million-€10 million,2,"['ESG Chain', 'ESG Chain']",0,0,0,0,2,5,5,4,10,0.5,0,unclear
Enzyan Biocatalysis,https://www.eu-startups.com/directory/enzyan-biocatalysis/,https://www.eu-startups.com/wp-content/uploads/2024/06/download-2-48-150x112.png,enzyan.com,True,Graz,Styria,Software & Analytics,"['biocatalysis', 'biomanufacturing', 'chemicals']",B2B,False,enzyan-biocatalysis-gmbh,True,,False,enzyanbiocat,True,2022,3,Above €25 million,7,"['Grazer Startup Enzyan: ""Wir wollen der weltweite Go-to-Partner für Multi-Enzymprozesse werden""', 'Enzyan Biocatalysis GmbH', 'Enzyan Biocatalysis', 'Enzyan Biocatalysis GmbH', 'Enzyan Biocatalysis', 'Enzyan Biocatalysis GmbH in Graz', 'Mathias Pickl-Farnberger – Mitbegründer – Enzyan Biocatalysis GmbH']",1,0,0,0,6,7,5,6,27,0.37,0,probably_funding
EnergyFamily,https://www.eu-startups.com/directory/energyfamily/,https://www.eu-startups.com/wp-content/uploads/2024/06/download-64-150x63.png,energyfamily.at,True,Euratsfeld,Lower Austria,Software & Analytics,"['energy', 'community', 'platform']",B2C,False,energyfamily,True,energyfamily.at,True,,False,2022,3,Above €25 million,1,['Business boosten mit Energiegemeinschaften: das Startup energyfamily.at macht es möglich'],1,0,0,0,0,7,5,4,34,0.176,0,unclear
creonect,https://www.eu-startups.com/directory/creonect/,https://www.eu-startups.com/wp-content/uploads/2024/06/download-2-43-150x150.png,creonect.com,True,Wolfern,Upper Austria,Software & Analytics,"['efficient', 'tools', 'machines']",B2B,False,,False,,False,,False,2023,2,Between €1 million-€ 2.5 million,0,[],0,0,0,0,0,7,4,5,19,0.1578947368421052,0,unclear
Bundre,https://www.eu-startups.com/directory/bundre/,https://www.eu-startups.com/wp-content/uploads/2024/06/Bundre-Wordmark-Black-150x25.webp,bundre.com,True,Linz,Upper Austria,Software & Analytics,"['waistclip', 'belt-alternative', 'fashion']",B2C,False,bundre,True,bundre.official,True,,False,2023,2,Between €100K-€500K,1,['BUNDRE: Ein patentiertes Modeaccessoire macht Unterteile enger'],0,0,0,0,1,5,4,3,19,0.1,0,unclear
Beat Shaper,https://www.eu-startups.com/directory/beat-shaper/,https://www.eu-startups.com/wp-content/uploads/2024/10/Captura-de-pantalla-2024-10-14-a-les-15.39.39-150x37.png,beatshaper.ai,True,Vienna,Vienna,Software & Analytics,"['generative music', 'AI', 'aspiring artists']",B2C,False,beat-shaper,True,,False,,False,2023,2,Between €2.5 million-5 million,4,"['Beat Shaper - Generative AI for Musicians', 'Beat Shaper', 'Jeremy Brown – Beat Shaper', 'Beat Shaper']",0,0,0,0,4,8,6,5,25,0.12,0,probably_funding
APICHAMP,https://www.eu-startups.com/directory/apichamp/,https://www.eu-startups.com/wp-content/uploads/2024/06/download-2-37-150x150.png,apichamp.com,True,Linz,Upper Austria,Software & Analytics,"['backend', 'API', 'platform']",B2B,False,,False,,False,,False,2022,3,Above €25 million,0,[],0,0,0,0,0,7,6,5,22,0.2727272727272727,0,unclear
TasteMy.City,https://www.eu-startups.com/directory/tastemy.city,https://www.eu-startups.com/wp-content/uploads/2024/06/download-2-32-150x150.png,tastemy.city,True,Linz,Upper Austria,Software & Analytics,"['tasting', 'food', 'experience']",B2C,False,,False,tastemy.city,True,,False,2023,2,Above €25 million,1,['Home - TasteMy.City'],0,0,0,0,1,7,5,4,19,0.0,0,unclear
RobotDreams,https://www.eu-startups.com/directory/robotdreams/,https://www.eu-startups.com/wp-content/uploads/2024/06/Logo-5-150x30.png,robotdreams.co,True,Graz,Styria,Software & Analytics,"['AI', 'diagnosis', 'cardiovascular']",B2B,False,robotdreams,True,robotdreams.cc,True,robotdreams_,True,2019,6,Above €25 million,0,[],0,0,0,0,0,7,6,5,22,0.227,1,unclear
Redeem Solar Technologies,https://www.eu-startups.com/directory/redeem-solar-technologies/,https://www.eu-startups.com/wp-content/uploads/2024/06/download-2-26-150x61.png,redeemtechnologies.com,True,Graz,Styria,Energy,"['solar', 'technologies', 'chemical']",B2B,True,redeem-solar-technologies,True,,False,,False,2023,2,Between €2.5 million-5 million,0,[],0,0,0,0,0,5,3,4,15,0.2,0,unclear
refinq,https://www.eu-startups.com/directory/refinq/,https://www.eu-startups.com/wp-content/uploads/2024/06/download-4-15-150x150.png,refinq.com,True,Vienna,Vienna,Software & Analytics,"['Biodiversity', 'Ecosystems', 'Climate Risk']",B2B,False,refinq,True,,False,,False,2023,2,Between €500K-€ 1 million,2,"['Wiener Startup refinq erhält eine halbe Million Euro von der FFG', 'Wiener Startup refinq erhält eine halbe Million Euro von der FFG']",2,500000,0,0,0,6,4,5,19,0.3684210526315789,0,funding
optivice.energy,https://www.eu-startups.com/directory/optiviceenergy/,https://www.eu-startups.com/wp-content/uploads/2024/06/logo2-150x26.png,optivice.energy,True,Vienna,Vienna,Software & Analytics,"['optimization', 'energy', 'service']",B2B,False,optivice-energy,True,,False,,False,2023,2,Between €1 million-€ 2.5 million,2,"['optivice.energy', 'OPTIVICE.energy']",0,0,0,0,2,5,4,5,9,0.33,0,unclear
myAcker,https://www.eu-startups.com/directory/myacker/,https://www.eu-startups.com/wp-content/uploads/2024/06/download-1-30-150x150.png,myacker.com,True,Spittal an der Drau,Carinthia,AgTech/FoodTech,"['online garden', 'organic harvests', 'vegetable fans']",B2C,False,myacker,True,myackerfamily,True,,False,2018,7,Between €100K-€500K,6,"['myAcker erhält Investment zu zweistelliger Millionen-Bewertung', 'ackerPay®: myAcker wurde für selbstentwickeltes Shopsystem geehrt - Spittal', 'myAcker: Das Kärntner Startup und der digitale Gemüsegarten', 'MyAcker: Kärntner Startup holt sich Investment – Millionenbewertung', 'myAcker aus Spittal: AckerPay, der neue Dünger für Kärntner Erfolgs-Start-up', 'myAcker: Wie zwei Kärntner für Großstädter einen Gemüseacker bestellen']",3,20000000,0,0,3,6,5,6,32,0.125,0,funding
SpaceXpanse Multiverse,https://www.eu-startups.com/directory/spacexpanse-multiverse/,https://www.eu-startups.com/wp-content/uploads/2024/06/logo-4-150x150.png,spacexpanse.org,True,Vienna,Vienna,Software & Analytics,"['blockchain', 'GameFi', 'decentralized']",B2C,False,,False,,False,spacexpanse,True,2022,3,No funding announced yet,4,"['SpaceXpanse Multiverse', 'Welcome to the SpaceXpanse Multiverse: Where You Own the Stars', 'SpaceXpanse Multiverse', 'SpaceXpanse Multiverse - The metaverse of the future']",0,0,0,0,4,8,6,8,392,0.25,0,no_funding
HerzensApp,https://www.eu-startups.com/directory/herzensapp/,https://www.eu-startups.com/wp-content/uploads/2024/06/download-1-25-150x150.png,herzens.app,True,Graz,Styria,Software & Analytics,"['digital platform', 'nurses', 'healthcare professionals']",B2B,False,herzensapp-gmbh,True,herzens_app,True,,False,2022,3,Between €100K-€500K,3,"['HerzensApp: Wie ein Grazer Startup Akteure der Pflege vernetzt', 'Grazer Start-up HerzensApp will Uber für Pflegekräfte werden', 'HerzensApp: Grazer CareTech-Startup startet erste Finanzierungsrunde']",3,0,0,0,0,7,5,5,15,0.2,0,probably_funding
Glink,https://www.eu-startups.com/directory/glink/,https://www.eu-startups.com/wp-content/uploads/2024/06/download-4-7-150x150.png,glink.solutions,True,Traismauer,Lower Austria,Software & Analytics,"['API', 'integration', 'orchestration']",B2B,False,glink-gmbh,True,glink_gmbh,True,glinklive,True,2020,5,Above €25 million,1,['Glink: NÖ-Startup kooperiert mit A1-Tochter'],1,0,0,0,0,7,6,5,36,0.25,0,unclear
cyclebee,https://www.eu-startups.com/directory/cyclebee/,https://www.eu-startups.com/wp-content/uploads/2024/06/download-20-150x150.png,cyclebee.app,True,Graz,Styria,Software & Analytics,"['Radreise', 'Planen', 'Organisieren']",B2C,False,cyclebee,True,cyclebee.app,True,,False,2020,5,Above €25 million,0,[],0,0,0,0,0,7,5,4,24,0.0,0,unclear
commonsun,https://www.eu-startups.com/directory/commonsun/,https://www.eu-startups.com/wp-content/uploads/2024/06/commonsun_logo-150x150.jpg,commonsun.durable.co,True,Vienna,Vienna,Energy,"['PV community system', 'energy revenue', 'CO2 savings']",B2B2C,False,commonsun,True,commonsun_,True,,False,2017,8,Between €2.5 million-5 million,1,['Commonsun: Wiener Startup kümmert sich um Sonnenstrom für Miethäuser'],0,0,0,0,1,7,6,5,139,0.15,0,unclear
blue auditor,https://www.eu-startups.com/directory/blue-auditor/,https://www.eu-startups.com/wp-content/uploads/2024/06/download-8-150x150.jpg,blueauditor.com,True,Vienna,Vienna,Software & Analytics,"['sustainability', 'real estate', 'management tool']",B2B,False,blue-auditor,True,blue_auditor,True,blueauditorapp,True,2017,8,Between €100K-€500K,1,['blue auditor: Wiener ESG-Plattform für Immobilien erhält sechsstelliges Investment'],1,100000,0,0,0,7,5,6,108,0.25,1,funding
Biomotion,https://www.eu-startups.com/directory/biomotion/,https://www.eu-startups.com/wp-content/uploads/2024/06/biomotion_technologies_logo-150x150.jpg,biomotion.tech,True,Vienna,Vienna,Health,"['3D bioprinting', 'technology', 'research']",B2B,False,biomotion-technologies,True,biomotion,True,biomotiontech,True,2022,3,Above €25 million,2,"['ViennaUP: Biomotion Technologies gewinnt Pitch-Wettbewerb am Connect Day', '#glaubandich Challenge: Biomotion Technologies erringt den Sieg in Graz']",2,0,0,0,0,8,7,6,116,0.25,0,unclear
BeVi,https://www.eu-startups.com/directory/bevi/,https://www.eu-startups.com/wp-content/uploads/2024/06/bevi_best_view_logo-150x150.jpg,beviai.com,True,Vienna,Vienna,Software & Analytics,"['AI', 'product pictures', 'mobile camera app']",B2B,False,bevi-best-view,True,getbevi,True,getbevi,True,2023,2,Between €2.5 million-5 million,0,[],0,0,0,0,0,7,6,5,42,0.14,0,unclear
Beetle ForTech,https://www.eu-startups.com/directory/beetle-fortech/,https://www.eu-startups.com/wp-content/uploads/2024/06/download-1-4-150x55.jpg,beetlefortech.com,True,Tulln,Lower Austria,AgTech/FoodTech,"['forestry', 'sustainable', 'technology']",B2B,False,beetle-fortech,True,beetlefortech,True,beetlefortech,True,2021,4,Between €1 million-€ 2.5 million,2,"['Interview Beetle ForTech', 'Beetle ForTech: NÖ-Startup mit Lösung gegen illegalen Holzhandel']",0,0,0,0,2,7,5,6,42,0.25,0,unclear
