name,link,category,based_in,tags,founded,business_name,logo_link,long_business_description,business_description,total_funding,website,company_status,social_links
lxbfYeaa,https://www.eu-startups.com/directory/no-title/,Austria,lxbfYeaa,1,2024.0,(no title),,,,,,,()
Wedding Capsule,https://www.eu-startups.com/directory/wedding-capsule/,Austria,Lochau,"Wedding & Event Planning, Lifestyle, Productivity, Personal Life, Wedding Guest book",2024.0,Wedding Capsule,https://www.eu-startups.com/wp-content/uploads/2024/12/Logo-400-150x150.png,"Wedding Capsule is a modern digital guestbook and memory collection tool that replaces traditional guestbooks with an interactive, all-in-one solution. It collects heartfelt messages, photos, videos, and voice recordings from guests, organizing them into a dynamic timeline. Guests can easily participate using QR codes and familiar platforms like WhatsApp, Facebook Messenger, or a web browser—no app download required. Key Features: - Interactive Guestbook: Guests share messages, photos, videos, and voice notes, creating a complete memory collection. - Real-Time Timeline: All contributions appear instantly in a beautiful, organized timeline. - Effortless Access: Custom-designed QR codes, placed on invitations, menus, or table cards, provide instant guest access. - WhatsApp and Messenger Integration: Guests can contribute using platforms they already know, making it easy for everyone. - Post-Wedding Reminders: Automated follow-ups ensure guests upload any additional photos and videos. - Fun Photo and Video Missions: Creative tasks like “Take a selfie with the couple!” make participation engaging and fun. Benefits: Wedding Capsule solves the chaos of collecting wedding memories by centralizing them in one place. Couples receive a complete keepsake that includes messages, photos, and even emotional voice notes. Photo and video missions create unique moments, while the platform’s simplicity ensures even less tech-savvy guests can contribute effortlessly. How It Works: - Setup: Couples customize QR codes matching their wedding theme and place them on invitations, menus, or at the venue. - During the Wedding: Guests scan the QR codes to access the guestbook and share memories instantly via WhatsApp, Messenger, or browser. - After the Wedding: Automated reminders prompt guests to upload additional photos and videos they may have missed. - The Final Keepsake: All contributions are organized into a downloadable timeline, preserving the wedding’s full story. Wedding Capsule is more than a guestbook—it’s a memory collection system that turns your wedding into a timeless keepsake. From heartfelt messages to funny videos, it captures every angle of your special day. Perfect for modern couples, it ensures no moment is missed.","A Digital wedding guestbook for messages, photos, videos, and memories",No funding announced yet,https://weddingcapsule.net/,Active,()
Hyrox Training Plans,https://www.eu-startups.com/directory/hyrox-training-plans/,Austria,Ober-wolfsbach,"Fitness, Health & Wellness, Hyrox Training",2024.0,Hyrox Training Plans,https://www.eu-startups.com/wp-content/uploads/2024/12/OGI-new-150x48.png,"HyroxTrainingPlans.com is a comprehensive directory dedicated to simplifying your journey to Hyrox success. We aggregate and showcase the best training plans from elite coaches worldwide, tailored for athletes of all fitness levels. With advanced filtering options, users can easily find programs that match their goals, schedules, and budgets. Our platform bridges the gap between athletes and expert-designed plans, ensuring everyone has access to proven strategies for achieving peak performance in Hyrox competitions.",HyroxTrainingPlans.com: Your go-to directory for curated Hyrox training plans tailored to every fitness level and goal.,No funding announced yet,https://www.hyroxtrainingplans.com/,Active,()
DOLPHIN RADAR,https://www.eu-startups.com/directory/dolphin-radar/,Austria,AUSTRIA,"INSTAGRAM, SOCIAL MEDIA, DATA, ANALYSIS",2024.0,DOLPHIN RADAR,https://www.eu-startups.com/wp-content/uploads/2024/11/DR-150x64.png,"Dolphin Radar, the ultimate tool for tracking the Instagram accounts that matter to you! With Dolphin Radar, you can easily discover who they’re following, whose posts they’re liking, and who they engage with the most. Powered by cutting-edge AI, Dolphin Radar delivers rich data insights while ensuring your activity remains 100% anonymous. Trusted by over 15,000 users, it offers a seamless experience, giving you the information you need to stay ahead and connected. A person should choose DolphinRadar over its competitors for several reasons: 1.100% Anonymous: Ensures privacy during Instagram tracking. 2.Comprehensive Data: Delivers a detailed overview of user activities, including behaviors that others might miss. 3.AI-Driven Insights: Provides intelligent analysis with deep AI insights that go beyond surface-level data. 4.Ease of Use: Simple, intuitive interface that requires no technical expertise. 5.Legally Compliant: Operates entirely within legal boundaries, using only publicly available data. Dolphin Radar serves a diverse audience, including: - Individuals wanting to monitor their loved ones' Instagram activities. - Businesses aiming to understand potential clients' interests and actions. - Competitive professionals who need to stay updated on rivals. - Those conducting background checks for personal or professional purposes. - Fans looking to deepen their connection with celebrities. - Parents interested in overseeing their children's online interactions.",Your Ultimate Instagram Activity Tracker,No funding announced yet,https://www.dolphinradar.com/,Active,()
506.ai,https://www.eu-startups.com/directory/506ai/,Austria,Linz,"ai, process, automation",2020.0,506.ai,https://www.eu-startups.com/wp-content/uploads/2024/10/logoneu.jpeg,"506 CompanyGPT is the next-generation AI process platform that simplifies the deployment and management of AI process automation across the enterprise. Through easy API integration, it reduces the need for multiple tools and enables non-experts to manage AI models, task templates and assistants. Built with security and compliance (GDPR, EU AI Act) in mind, 506 CompanyGPT improves workflows by providing an AI-driven data repository that streamlines processes and information sharing, making advanced AI accessible and manageable for businesses.","We provide secure AI platform that enable organisations to integrate advanced AI for process automation using their own data, while maintaining full control and compliance, without requiring deep technical expertise.",Between €1 million-€ 2.5 million,"506,ai",Active,"('https://www.linkedin.com/in/gerhardkuerner/',)"
Get Worksheet,https://www.eu-startups.com/directory/get-worksheet/,Austria,Vienna,"Education, Artificial Intelligence",2023.0,Get Worksheet,https://www.eu-startups.com/wp-content/uploads/2024/10/CleanShot-2024-10-10-at-23.12.07-2x-copy-150x150.png,"GetWorksheet.co is a simple tool for teachers to quickly create and customize worksheets for their students. You can generate worksheets tailored to your subject and class, with a few pre-made templates to get you started. It’s straightforward—just choose your options, and you’ll have a ready-to-use worksheet in no time. No bells and whistles, just a handy way to save time on classroom prep.","GetWorksheet.co is a simple tool for teachers to quickly create and customize worksheets for their students. You can generate worksheets tailored to your subject and class, with a few pre-made templates to get you started. It’s straightforward—just choose your options, and you’ll have a ready-to-use worksheet in no time. No bells and whistles, just a handy way to save time on classroom prep.",Between €1-€100K,https://getworksheet.co,Active,()
Finslice,https://www.eu-startups.com/directory/finslice/,Austria,Linz,"Fintech, Exchange, Alternative Investments, Tangible Assets",2024.0,Finslice,https://www.eu-startups.com/wp-content/uploads/2024/10/Logo_weis_Hintergrund-150x27.png,,"Finslice is an exchange that enables users to invest fractionally in tangible assets such as luxury watches, art, and rare spirits. These items are categorized based on their characteristics, allowing users to purchase shares of bundles with minimal capital and trade them on our platform. Essentially, these are ETF-like products, but backed by real world objects.",No funding announced yet,https://www.finslice.eu/,Active,"('https://www.linkedin.com/company/finslice-eu/',)"
FantasyGF AI,https://www.eu-startups.com/directory/fantasygf-ai/,Austria,Austria,"AI, SaaS, ChatBot",2023.0,FantasyGF AI,https://www.eu-startups.com/wp-content/uploads/2024/10/2-1-150x150.png,"FantasyGF.ai is a versatile platform that goes beyond simple chatbot interactions. It combines advanced AI technology with stunning visual generation and deep personalization, offering a truly immersive and emotional experience. Whether you’re looking for entertainment, emotional support, or a creative outlet, FantasyGF.ai has something for everyone.","FantasyGF.ai provides an immersive experience where you can create personalized AI girlfriends, engage in meaningful conversations, and generate lifelike images of your virtual companions. Designed to feel real, these AI-powered characters offer an engaging mix of entertainment, companionship, and customization, tailored to your preferences.",Between €1-€100K,https://fantasygf.ai/,Active,()
DAIKI GmbH,https://www.eu-startups.com/directory/daiki-gmbh/,Austria,Vienna,"AI governance, Compliance software",2023.0,DAIKI GmbH,https://www.eu-startups.com/wp-content/uploads/2024/10/Daiki-logo-150x47.png,"Daiki is an artificial intelligence company with offices in Vienna and the USA. It was founded in 2023 as a spin-off of a research project about ethical AI between the University of Vienna and Gradient Zero, a machine learning company based in Vienna. Our multidisciplinary team combines legal, ethical, design, and machine learning expertise. Daiki’s SaaS platform combines AI governance and compliance to help teams 'get AI done'; we enable organizations to successfully implement AI within their organization while meeting industry-specific, local, and international compliance requirements.",SaaS Platform for AI Governance & ISO Compliance,No funding announced yet,www.dai.ki,Active,"('https://www.linkedin.com/company/daiki-ai/',)"
CaterMe,https://www.eu-startups.com/directory/caterme/,Austria,Piringsdorf,"catering, events",2020.0,CaterMe,https://www.eu-startups.com/wp-content/uploads/2024/10/1x1-150x150.png,"What sets Caterme by Schnabl's apart is their dedication to customer satisfaction and their comprehensive service. The experienced and innovative catering team handles everything from menu planning and ingredient sourcing to food preparation, service, and clean-up, allowing hosts to focus entirely on their guests and the event itself. The company prides itself on offering a diverse menu that combines regional specialties with modern classics, catering to a wide range of tastes and dietary preferences. From appetizers and soups to main courses, desserts, and finger foods, Caterme by Schnabl's ensures that every dish is prepared with the utmost care and attention to detail. Caterme by Schnabl's services extend to a variety of events, including birthdays, name days, family gatherings, and corporate functions. While they do not cater for weddings, their flexible approach allows them to accommodate events of different sizes and types, starting from gatherings of 20 people or more.","Caterme by Schnabl's is a premier catering service based in Piringsdorf, Burgenland, Austria, specializing in delivering exceptional culinary experiences for events throughout Austria. Founded by Florian Schnabl, this innovative catering company operates under the motto ""You enjoy, we serve up,"" emphasizing their commitment to providing hassle-free, high-quality dining solutions for various occasions.",No funding announced yet,https://catermebyschnabls.com,Active,()
WasItAI,https://www.eu-startups.com/directory/wasitai/,Austria,Vienna,AI-image detection,2024.0,WasItAI,https://www.eu-startups.com/wp-content/uploads/2024/10/Logo-512x512-1-150x150.png,"WasItAI is a service for determining if images were generated by a human or AI. By uploading a photo, our software provides data about the image origin.",Check if an image is AI-generated.,No funding announced yet,https://wasitai.com/,Active,"('https://www.linkedin.com/company/98882864/admin/dashboard/',)"
Maps Scraper AI,https://www.eu-startups.com/directory/maps-scraper-ai/,Austria,Collyer Quay,ai，maps scraper,2023.0,Maps Scraper AI,https://www.eu-startups.com/wp-content/uploads/2024/09/icon-128.png,"Get Local Leads with the power of AI.A great tool for generating leads to collecting information from Maps for potential customers automatically. Why Use Maps Scraper? Scraping Bing Maps data has many benefits, including lead generation, research and data science, monitoring competition, and obtaining business contact details. It can help businesses understand customer needs, research competitors, and develop new strategies Maps Scraper Features 1. Extract email and social media. Unique ability to extract email addresses associated with listed companies, which are not typically displayed on Maps. 2. Ease of Use. Allows data extraction from Maps without writing any code (Python or JavaScript). 3. Batch Lookup. Batch search capability to search for multiple keywords simultaneously, streamlining the process. 4. Lightning-Fast Results. Lightning-fast results and time savings by providing instant, accurate insights without the need to build and test a custom web scraping tool. 5. Works like a real user. Mimics real user behavior using Chrome, reducing the risk of being blocked by Maps. 6. Well Maintained Software. Well-maintained software, ensuring timely updates to accommodate any changes on the Maps website, enabling seamless and uninterrupted operation. Extract contacts from maps using Maps Scraper AI? Step 1 : One way to find nearby businesses is by simply entering your query into Bing Maps, which will then use your location to identify local businesses, helping you find services that are quick and nearby. Step 2 : Open the Chrome extension with a simple mouse click. It's so easy to get started with your crawl, you'll be up and running in just a few seconds. Step 3: You can export results in CSV or XLS file, with no limits on the amount of data you can export. In addition, the software supports exporting emails and phone numbers, among other feature","Maps Scraper AI is like a robot that scrapes Bing Maps, giving us real, verified leads. It's the best way to get leads automatically, straight from Maps listings.",No funding announced yet,https://mapsscraper.ai/,Active,()
RTOPilot,https://www.eu-startups.com/directory/rtopilot/,Austria,Selker,"SaaS, EdTech, Vocational Education & Training, Startup",2024.0,RTOPilot,https://www.eu-startups.com/wp-content/uploads/2024/09/1693021247238-150x150.jpg,"RTOPilot is a comprehensive tool designed to streamline the entire Registered Training Organization (RTO) process, ensuring efficiency from enrollment to compliance. With automated workflows, real-time reporting, and intelligent tracking features, RTOPilot reduces administrative burdens, enhances compliance management, and improves student outcomes. Whether you're managing course delivery, assessments, or student records, RTOPilot helps you optimize your RTO operations with ease, saving time and boosting productivity.",Streamlining operations for Registered Training Organisations with user-friendly management software and compliance tools.,No funding announced yet,http://rtopilot.com.au/,Active,()
Hypertxt,https://www.eu-startups.com/directory/hypertxt/,Austria,Vienna,"AI Content Generator,SEO Blog Posts",2023.0,Hypertxt,https://www.eu-startups.com/wp-content/uploads/2024/09/favicon-150x150.png,"Hypertxt is a cutting-edge AI-powered content creation tool designed to revolutionize how businesses and individuals generate blog posts. By harnessing data from authoritative sources like Reddit, Quora, and Wikipedia, Hypertxt ensures that every article is not only well-researched but also SEO-optimized to enhance visibility and engagement. The tool offers a structured approach to content creation that includes research, outlining, and writing, providing a comprehensive solution for producing high-quality blog posts. This methodology ensures that content is both accurate and compelling, meeting the highest standards of readability and search engine performance. Hypertxt is particularly beneficial for content creators, marketers, and SEO professionals who require consistent, high-quality content without the time-consuming manual effort. With the ability to start with 3 free articles, users can experience the tool’s capabilities before committing to a subscription plan. The upgrade options provide unlimited access, making it a scalable solution for businesses of all sizes. Whether you’re looking to boost your content marketing strategy, improve SEO rankings, or simply produce engaging blog posts efficiently, Hypertxt offers the tools and flexibility needed to achieve your content goals.","Hypertxt is an AI-powered tool that generates detailed, SEO-optimized blog posts by leveraging data from trusted sources. Ideal for content creators and marketers seeking high-quality, research-driven content.",Between €100K-€500K,https://hypertxt.ai,Active,()
Cimphony,https://www.eu-startups.com/directory/cimphony/,Austria,Thal,"SaaS, AI,Bussines",2024.0,Cimphony,https://www.eu-startups.com/wp-content/uploads/2024/09/agNsxwT_400x400-150x150.jpg,"Cimphony is your startup's AI-powered legal team, providing instant access to expert legal advice and document creation tailored for early-stage businesses. Whether you're drafting contracts, navigating compliance, or resolving disputes, Cimphony's AI tools are designed to simplify complex legal tasks, ensuring your startup is legally sound from day one. Save time, reduce costs, and protect your business with Cimphony's reliable and efficient AI legal solutions.","Cimphony is your startup's AI-powered legal team, providing instant access to expert legal advice and document creation tailored for early-stage businesses. Whether you're drafting contracts, navigating compliance, or resolving disputes, Cimphony's AI tools are designed to simplify complex legal tasks, ensuring your startup is legally sound from day one. Save time, reduce costs, and protect your business with Cimphony's reliable and efficient AI legal solutions.",No funding announced yet,http://www.cimphony.ai,Active,()
digna GmbH,https://www.eu-startups.com/directory/digna-gmbh/,Austria,Vienna,"data quality, data observability tool, data quality solution, data warehouses, data centers, anomaly detection",2020.0,digna GmbH,https://www.eu-startups.com/wp-content/uploads/2024/08/DEXT.AI-Rebrands-to-digna-2-150x69.png,"digna is an AI-powered anomaly detection solution designed to meet the challenges of modern data quality management. It's domain agnostic, seamlessly adapting to various sectors, from finance to healthcare. digna prioritizes data privacy, ensuring compliance with stringent data regulations. Moreover, it's built to scale, growing alongside your data infrastructure. With the flexibility to choose cloud-based or on-premises installation, digna aligns with your organizational needs and security policies. In conclusion, digna stands at the forefront of modern data quality solutions. Its user-friendly interface and powerful AI-driven analytics make it an ideal choice for businesses seeking to improve their data quality. With its seamless integration, real-time monitoring, and adaptability, digna is not just a tool; it’s a partner in your journey towards impeccable data quality.","digna is an AI/ML software company based in Vienna building intelligent, user-friendly AI/ML-powered solutions for Data Warehouses & co.",Between €100K-€500K,https://www.digna.ai/,Active,"('https://www.linkedin.com/company/19018800/admin/dashboard/',)"
