name,website_clean,General
Seven Bel,https://www.sevenbel.com/de,https://www.sevenbel.com/de/
Principia MBS,https://www.principia-mbs.com,https://www.principia-mbs.com/
Praxilla,https://www.praxilla.io,https://praxilla.io/
N Vision,https://www.n-vision.ai,https://de.wikipedia.org/wiki/Hyundai_N_Vision_74
money:care,https://www.moneycare.at,https://www.moneycare.io/
MetabolizeMe,https://www.metabolizeme.com,https://www.inits.at/metabolizeme/
logicdev,https://www.logicdev.eu,https://www.logiicdev.eu/
Easy Month End,https://easymonthend.com,https://easymonthend.com/
infrared.city,https://www.infrared.city,https://infrared.city/
ESG Chain,https://www.esg-chain.com,https://www.esg-chain.com/
Enzyan Biocatalysis,https://www.enzyan.com,https://www.enzyan.com/
EnergyFamily,https://www.energyfamily.at,https://www.energyfamily.at/
creonect,https://www.creonect.com,https://www.creonect.com/
Bundre,https://www.bundre.com,https://www.bundre.com/?srsltid=AfmBOopaJbEN3cA0yimIYXw3jWSRcLH7Gr6HJqsHiJauhOZzljO6bHz6
Beat Shaper,https://www.beatshaper.ai,https://www.beatshaper.ai/
APICHAMP,https://www.apichamp.com,https://www.apichap.com/
TasteMy.City,https://tastemy.city,https://tastemy.city/
RobotDreams,https://robotdreams.co,https://robotdreams.co/
Redeem Solar Technologies,https://redeemtechnologies.com,https://redeemtechnologies.com/
refinq,https://refinq.com,https://www.refinq.com/de
optivice.energy,https://optivice.energy,https://optivice.energy/
myAcker,https://myacker.com,https://myacker.com/
SpaceXpanse Multiverse,https://www.spacexpanse.org,https://www.spacexpanse.org/
HerzensApp,https://herzens.app,https://herzens.app/
Glink,https://glink.solutions,https://www.wagrain-kleinarl.at/de/aktivitaeten/skifahren-snowboarden/bergbahnen/g-link.html
cyclebee,https://cyclebee.app,https://cyclebee.app/
commonsun,https://commonsun.durable.co,https://greenstart.at/projekt/commonsun/
blue auditor,https://blueauditor.com,https://blueauditor.com/de/
Biomotion,https://biomotion.tech,https://biomotion.tech/
BeVi,https://beviai.com,https://www.bevi.com/
Beetle ForTech,https://beetlefortech.com,https://beetlefortech.com/
Plantarista,https://www.plantarista.at,https://www.plantarista.at/
Flapjack,http://www.flapjack-sdk.com,https://www.kuechengoetter.de/rezepte/flapjacks-6861
EscapeCloud,https://escapecloud.io,https://escapecloud.io/
Hololight,https://hololight.com,https://hololight.com/
Necture,https://www.necture.com,https://www.necture.com/
Whalecard,https://whalecard.co,https://www.whalecard.com/
spixnet,https://spixnet.com,https://spixnet.com/
byeagain,https://www.byeagain.at,https://www.byeagain.at/
Damn Plastic,https://www.damnplastic.com,https://damnplastic.com/?srsltid=AfmBOopDBbNcfp2533vsuvdk4CpE8r6QNqijXP6yYXRaeLNWg86z2AKj
Parastruct,https://www.parastruct.org,https://www.parastruct.org/
PiktID,https://piktid.com,https://piktid.com/de/
SchuBu Systems,https://www.schubu.systems,https://www.schubu.org/
Boolee,https://boolee.io,https://boolee.io/
YouKnowMeBest,https://youknowme.best,https://youknowme.best/
PassionClass,https://www.passionclass.co,https://www.passionclass.co/
SheetMagic,https://sheetmagic.ai,https://sheetmagic.ai/
https://www.branding5.com/,https://www.branding5.com,https://www.branding5.com/
FragDasPDF – Simply talk to any PDF,https://www.fragdaspdf.de/en,https://www.fragdaspdf.de/
Feel Forever Young,https://www.fancybynature.com,https://www.feelforeveryoung.company/
AEROMOND,https://www.aeromond.com/aeromond,https://www.aeromond.com/
Timeular,https://timeular.com,https://timeular.com/de/
SAGLY,https://www.sagly.at,https://sagly.at/de/
Vigilios,https://www.vigilios.com,https://www.vigilios.com/
HeyBob,https://heybob.app,https://www.hibob.com/de/
Whistle,https://www.usewhistle.com,https://de.wikipedia.org/wiki/Whistle_(Lied)
alwritely,https://www.alwritely.com,https://alwritely.framer.website/
Godot,https://godot-austria.com,https://godotengine.org/
tidalbase,https://www.tidalbase.com,https://www.tidalbase.com/
NO/FUZZ Marketing,https://www.nofuzzmarketing.com,https://www.nofuzzmarketing.com/
RebeccAi,https://rebecc.ai,https://rebecc.ai/
Destination360,https://destination360.io,https://destination360.in/
Oscar Stories,https://www.oscarstories.com,https://oscarstories.com/de/
Storypact,https://www.storypact.com,https://www.storypact.com/de/
clone:it,https://www.cloneit.at,https://www.cloneit.at/
slamstr,https://slamstr.com,https://slamstr.com/
Glasskube,https://glasskube.eu,https://glasskube.dev/
Wiro Consulting,https://wiroconsulting.at,https://wiroconsulting.at/
AllstarsBot,https://allstarsbot.com,https://allstarsbot.com/
eTutee,http://etutee.eu,https://etutee.eu/
Emma Wanderer,https://www.emmawanderer.com,https://www.emmawanderer.com/
consola.finance,https://consola.finance,https://www.consolafinance.at/
Brightmind.ai,https://brightmind.ai,https://brightmind.ai/
Autory,https://autory.io,https://www.autory.io/
Add to Water,https://addtowater.com,https://www.shop-apotheke.at/arzneimittel/upmEURPEA/add-to-water-beauty-zuckerfreies-getraenkekonzentrat.htm
myCulture GmbH,https://www.myculture.app,https://www.myculture.app/
And-Less,https://and-less.at,https://and-less.at/
FERTILABS GmbH,https://vilavit.com,https://vilavit.com/?srsltid=AfmBOorscNZmz48Cd37wjpGWbIl0XVPggOtD8mx9B4bkT5x8Z2QxLFlI
personly,https://www.personly.com,https://www.personly.com/de
voidsy,http://www.voidsy.com,https://www.voidsy.com/
silana,https://wearesilana.com,https://www.silana.com/
Ohana,https://www.tryohana.com/en,https://www.tryohana.com/de
nuvo,https://nuvo.cam,https://www.nuvo-instruments.info/
Metaloop,https://www.metaloop.eu,https://www.metaloop.com/de/
heyqq – ask away,https://www.heyqq.app,https://www.eu-startups.com/directory/heyqq-ask-away/
HEYRISE,http://www.heyrise.com,https://www.heyrise.com/
HeldYn,https://www.heldyn.com,https://heldyn.com/
GATE Space,https://gate.space,https://gate.space/
Flinn Comply,https://www.flinncomply.com,https://www.flinn.ai/
NXRT,http://www.nxrt.io,https://nxrt.io/
ReDev,https://redev.at,https://redev.technology/
Revitalyze,https://www.revitalyze.io,https://www.revitalyze.io/de/
Coachfident,https://www.coachfident.com,https://www.coachfident.com/
Goddard – Discovery,https://www.goddard-discovery.ml,https://www.goddard-discovery.com/
Datogy,https://www.datogy.at,https://www.firmenbuchgrundbuch.at/abfrageservices/firmenbuch/fn/539218v
prop.ID – simply real estate,https://www.prop.id,https://www.prop.id/
fynk,https://www.fynk.com,https://fynk.com/de/
SHOMUGO GmbH,https://www.shomugo.at,https://shomugo.com/
Crew26,https://crew26.com,https://www.dsg.at/einrichtung/205/programmekurseundveransta/radsport/dsgbikelannach
reebuild,https://reebuild.com,https://www.reebuild.com/
Proofcheck,https://www.proofcheck.io,https://proofcheck.io/
Pluz Care,https://pluz.care,https://pluz.care/t/kategorien
Simplexx,https://www.simplexx.at,https://www.simplexx.at/
Neolime,https://www.neolime.io,https://www.neolime.io/
Lightning Company,https://lightningcompany.com,https://www.firmenabc.at/lightning-company-ltng-gmbh_BArpA
TUSECA,https://www.tuseca.com,https://www.tuseca.com/
Heylog,https://www.heylog.com,https://www.heylog.com/
Streamfire,https://www.streamfire.com,http://streamfireapp.tv/
Surfvacationer,https://surfvacationer.com,https://surfvacationer.com/
Texterify,https://texterify.com,https://texterify.com/
yourStyle,https://yourstyle.app,https://your-style.fashion/de-at?srsltid=AfmBOoqsHx3Q5CNrz3NZOC-a0kVm__d6aMohvX5xGHGqR5o1C9uEZ6TX
kutschi.consulting,http://kutschi.consulting,https://kutschi.consulting/
NOUMEN,https://noumen.co,https://noumen.co/?srsltid=AfmBOopCXvWeOEK2eWeh_agxhYRgRIobEWajvACcWQfEc7MFWDHvkcXc
Quork,https://www.quork.at,https://www.facebook.com/quork.at/?locale=de_DE
HELLO INSIDE,https://helloinside.com,https://helloinside.com/?srsltid=AfmBOopVgAK1sQK4-5cfIsNdhbE-GxoVkp2a0ysTh_IL-UAluD055Eef
Justmarkt,https://justmarkt.at,https://www.facebook.com/justmarkt/?locale=de_DE
GlobalRisk,https://www.globalrisk.ai,https://globalrisk.com/
exo one,https://www.exo-one.club,https://store.steampowered.com/app/773370/Exo_One/
Celeris Therapeutics,https://www.celeristx.com,https://brutkasten.com/artikel/celeris-therapeutics-oesterreich-tochter-von-biotech-mit-grazer-wurzeln-im-konkurs
etti.co,https://www.etti.co,https://www.etti.co/
21bitcoin,https://21bitcoin.app,https://21bitcoin.app/
zone14,https://zone14.ai,https://zone14.ai/
Xperience,https://xperience.social,https://xperience.social/de/
Windpuls,http://www.windpuls.com,https://www.windpuls.com/home
Vloor,https://www.vloor.com,https://www.vloor.com/
VIRIDAD,https://www.viridad.eu,https://www.viridad.eu/
Vinitor,http://www.vinitor.app,https://vinitor.app/
trive studio,https://trive.studio,https://trive.studio/
Testiny,https://www.testiny.io,https://www.testiny.io/
MedCom,https://medcom.at,https://www.medcom.at/
Sneakit,http://sneakit.com,https://sneakit.com/
Sendance,http://www.sendance.at,https://www.sendance.at/
Schrankerl,https://www.schrankerl.at,https://www.schrankerl.at/
Roi4Presenter,https://www.roi4presenter.com,https://roi4cio.com/catalog/en/product/roi-for-presenter
Openlaws,https://openlaws.com,https://openlaws.us/
notarity,https://notarity.com,https://notarity.com/?utm_campaign=logo_click&utm_medium=company_profile&utm_source=trustpilot
Netz Beweis,https://www.netzbeweis.com,https://www.netzbeweis.com/
mjuks,https://mjuks.com,https://mjuks.com/?srsltid=AfmBOoqC9zlcJbOF0dPqFx-3H6RGJv2CZlO3q7sqkxRAgKf7OwU_-qCP
Miracl,https://miracl.at,https://miracl.at/
Luminous Labs,https://luminousred.com,https://www.luminouslabs.health/
Let’s Connect,https://www.letsconnect.at,https://de.letsconnect.at/
Klarsicht,https://www.klarsicht.online,https://www.klarsicht-it.de/
Keyone,http://www.keyone.at,https://keyone.at/
HeartBeat.bio,https://heartbeat-bio.eu,https://heartbeat.bio/
imd BIOTECH,https://imdbiotech.com,https://www.imdbiotech.com/
Futureweb,https://www.futureweb.at,https://www.futureweb.at/
Econutri,https://econutri.com,https://econutri.com/
Delphi Data Labs,https://www.delphidata.io,https://www.delphidata.com/
Dark Forest,https://darkforest.gmbh,https://de.wikipedia.org/wiki/Der_dunkle_Wald
Daphos,https://www.daphos.ai,https://www.daphos.ai/
CellEctric Biosciences,https://www.cellectric-biosciences.com,https://www.cellectric.com/
captic.io,https://captic.io,https://captic.io/
Beyond Now,https://beyondnow.com,https://www.beyondnow.com/en/
Auvaria,https://www.auvaria.com,https://www.auvaria.com/de
Artikuno,https://www.artikunocommerce.com,https://www.artikunocommerce.com/
Arboretum Haus,https://www.arboretum.haus,https://www.arboretumhaus.at/
afreshed,https://www.afreshed.at,https://www.afreshed.at/?srsltid=AfmBOooNqXOutnjQJKkRDQl8Exn_WPJ0tvFBMo6Q7YGnYq5osqYRlIKm
24 Sens,https://24sens.com,https://24sens.com/
123 Shared Mobility,https://www.123-transporter.at,https://123-transporter.at/
I Style You Daily,https://istyleyoudaily.com,https://www.instagram.com/istyleyoudaily/
Fermify,https://www.fermify.org,https://www.fermify.org/
F-Technologies,https://www.f-technologies.com,https://www.f-technologies.com/
Explore with us,https://explorewithus.eu,https://explorewithus.eu/
CamBuildr,https://www.cambuildr.com,https://cambuildr.com/
Ataleo,https://www.ataleo.com,https://brutkasten.com/artikel/ataleo-founder-das-waren-die-gruende-fuer-die-insolvenz
ArtAdvance,https://artadvance.io,https://www.eu-startups.com/directory/artadvance/
Arkeon Biotechnologies,https://arkeon.bio,https://arkeon.bio/
Arcletic,https://www.arcletic.com,https://www.arcletic.com/
ONE TWO BEER,https://onetwobeer.com,https://www.onetwobeer.com/de
Campstar,https://www.campstar.com,https://www.campstar.com/de/wohnmobil-mieten
Ada Growth,https://AdaApp.com,https://viora.com/
Arkeon,https://arkeon.bio,https://arkeon.bio/
Affluens Group,http://affluens.net,https://affluens360.com.au/
Lignovations,https://www.lignovations.com,https://lignovations.com/
CyberACI,https://www.cyberaci.com,https://www.cyberaci.com/
CrowdTiger,https://www.CrowdTiger.com,http://www.crowdtiger.com/
FUA Investment Club,http://www.fuainvestments.com,https://campuslife.at/organisations/fua-investment-club/
exo-one,https://www.exo-one.club,https://store.steampowered.com/app/773370/Exo_One/
ettico,https://www.etti.co,https://www.etti.co/
hNow,https://www.hNow.io,https://brutkasten.com/artikel/hnow-insolvenz
Leaders21com,https://www.leaders21.com/de,https://www.leaders21.com/de/
MIM.365,https://www.mim-365.com,https://www.firmenabc.at/mim-manufacturing-intelligence-management-gmbh_PBPv
mlxar,https://www.mlxar.com,https://www.inits.at/mlxar/
Noreja,https://noreja.com,https://noreja.com/de/
OPEN social audio,https://joinopen.app,https://brutkasten.com/artikel/open-audio-app
PROPUP,https://propup.at,https://www.propup.at/
DeepLYNX,https://deeplynx.com,https://inlsoftware.inl.gov/product/deep-lynx
BugBattle,https://www.bugbattle.io,https://startupland.at/magazin/dornbirner-startup-bugbattle-erste-smarte-europaeische-bug-reporting-loesung/
Algonist Biotechnologies,http://www.algonist.com,https://at.linkedin.com/company/algonist-biotechnologies
Shopstory,https://www.shopstory.ai,https://www.shopstory.ai/
25superstars,https://25superstars.com,https://brutkasten.com/artikel/25superstars-robo-wunderkind-co-founder-erhaelt-halbe-million-fuer-neues-software-startup
CoCo,https://CoCo.gl,https://de.wikipedia.org/wiki/Coco_%E2%80%93_Lebendiger_als_das_Leben!
Gamble-Verluste TS,https://www.gamble-verluste.at,https://www.gamble-verluste.at/
Revo Foods,https://revo-foods.com,https://revo-foods.com/de/
Helu.io,http://helu.io,https://www.helu.io/
TRUENDO Technologies,http://www.truendo.com,http://www.truendo.com/
blackshark.ai,https://blackshark.ai,https://blackshark.ai/
Blue Monday Project,https://www.bluemondayproject.com,https://www.tech2b.at/startup/blue-monday-project/
recordee,https://www.recordee.io,https://www.recordee.io/
Seasy GmbH,https://www.seasy.at,https://www.seasy.com/de
Ordito,https://www.ordito.at,https://www.kastner.at/ORDITO
enspired,https://www.enspired-trading.com,https://www.enspired-trading.com/
Similio Media,https://simil.io,https://simil.io/
ReloPilot,https://relopilot.io,https://relopilot.io/
Guestia,https://www.guestia.at,https://www.guestia.com/
Return on Art,https://www.returnonart.com,https://brutkasten.com/artikel/return-on-art-insolvenz
HelloBello,https://www.hellobello.de,https://www.hellobello.at/
DrainBot,https://www.drainbot.at,https://drainbot.com/de
enlivio,https://enlivio.com,https://www.enlivio.com/
Mursall Active Coating,https://www.active-coating.com/en/#home,https://active-coating.com/
Venturify,https://venturify.at,https://www.eu-startups.com/directory/venturify/
TradersYard,https://tradersyard.com,https://tradersyard.com/
Tech2impact,https://tech2impact.com,https://tech2impact.com/
Taxtastic,https://taxtastic.at,https://www.aws.at/service/cases/gefoerderte-projekte-auswahl/digitalisierung/taxtastic/
Splitbee,https://splitbee.io,https://splitbee.io/
Splex,https://Splex.net,https://app.splextech.com/
SHION,https://www.shion.at,https://tensura.fandom.com/wiki/Shion
SanusX,https://www.sanusx.com/en,https://next.mavie.care/de
SAN Group,https://www.san-group.com,https://www.san-group.com/
rotable technologies,https://rotable.at,https://www.rotable.de/
Rare Earth Games,https://www.rareearth.io,https://at.linkedin.com/company/rare-earth-games
Quantics GmbH,https://quantics.io,https://quantics.io/
Proxygen,https://proxygen.com,https://proxygen.com/
Posedio,https://posedio.com,https://www.posedio.com/
nista.io,https://www.nista.io,https://www.nista.io/
Nexyo,https://nexyo.io,https://nexyo.io/
MXR Tactics,https://mxr-tactics.com,https://www.mxr-tactics.com/
Mazing,https://mazingxr.com/en,https://mazingxr.com/
Marswalk,https://www.marswalk.media,https://www.marswalk.media/
Kickscale,https://www.kickscale.com,https://www.kickscale.com/
Jongerius ecoduna,https://jongerius-ecoduna.at,https://www.biologisch.at/bio-verzeichnis/ecoduna/
Instigo,https://instigo.io,https://instigo.io/
influData,https://www.infludata.com,https://infludata.com/de/
NumberX,https://www.numberx.com,https://x.com/numberxapp?lang=de
Hygiene Austria,https://hygiene-austria.at,https://de.wikipedia.org/wiki/Hygiene_Austria
Gurkerl.at,https://www.gurkerl.at,https://www.gurkerl.at/
Gleap,https://www.gleap.io,https://www.gleap.io/
Flasher,https://www.flasher.tech,https://flasher.tech/?srsltid=AfmBOopk8U81j3HXsTeCt-mQdoDMYy-N7dxoJ4MMnJ_G1Mzw4Wy60ik7
Findustrial,https://findustrial.io,https://findustrial.io/de/
fairesLeben,https://www.fairesleben.at,https://www.fairesleben.at/
Factinsect,https://factinsect.com,https://factinsect.com/de
Digicust,https://digicust.com,https://www.digicust.com/
Danube Dynamics,http://www.danube-dynamics.at,https://www.danube-dynamics.at/
Competenz Lab,https://competenzlab.io,https://competenzlab.io/
Cipacto,https://cipacto.com,https://cipacto.com/de/
Carbon Cleanup,http://www.carbon-cleanup.com,https://www.carbon-cleanup.com/
Brusli,https://www.bruesli.com,https://de.wikipedia.org/wiki/Bruce_Lee
Digital Schneiderei,https://www.digital-schneiderei.at,https://www.firmenabc.at/digital-schneiderei_zkNn
Bank99,https://www.bank99.at,https://bank99.at/
atmoky,https://atmoky.com,https://atmoky.com/
AMRAX,https://www.amrax.ai,https://amrax.ai/de/
Alwyzon,https://www.alwyzon.com,https://www.alwyzon.com/
Sola Diagnostics,https://www.sola-diagnostics.com,https://sola-diagnostics.com/
Streak,https://streakapp.com,https://de.pons.com/%C3%BCbersetzung/englisch-deutsch/streak
Streemfire,https://www.streemfire.com,https://www.streemfire.com/
Jobchain,https://www.jobchain.com,https://jobchain.com/
Integrysign,https://www.integrysign.com,https://www.integrysign.com/
myReha,https://www.myreha.ai,https://www.nyra.health/app
Nano Influence,http://www.getnano.io,https://www.kolsquare.com/de/blog/was-ist-eigentlich-ein-nano-influencer
hae.sh,https://hae.sh,https://hae.sh/de/
Green Cloud Nine,https://www.greencloudnine.com/info,https://greencloudnine.com/?srsltid=AfmBOoq_rH2uYPy5vf4kC7qmOSn9p4JDawsYT_V0gpf5ZbP-qeTXT2Fb
NOVEM Gold,https://novemgold.com,https://novem-gold.com/de/
Froots,https://www.froots.io,https://www.froots.io/
Redem,https://redem.io,https://redem.io/
Repeato,https://www.repeato.app,https://www.repeato.app/
S-A-M Technologies,https://www.s-a-m.tech,https://s-a-m.tech/
DOMA.market,https://doma.market/en,https://doma.market/
Digiburn,https://digiburn.health,https://digiburn.health/
simplify.art,https://www.simplify.art,https://www.simplify.art/
TALENT & MORE,https://talentandmore.com,https://www.firmenabc.at/talent-more-e-u_zUYj
careety,https://careety.com,https://alpha.careety.com/
Calm/Storm Ventures,https://www.calmstorm.vc,https://www.calmstorm.vc/
Vollville,https://vollville.com,https://www.firmenabc.at/vollville-technologies-gmbh_HURq
WeDress Collective,https://www.wedresscollective.com/home,https://www.wedresscollective.com/
Ahoy Kapptn!,https://ahoikapptn.com,https://ahoikapptn.com/de
Asigmo,https://www.asigmo.com,https://at.linkedin.com/company/asigmo-data-science
Visplore,https://visplore.com,https://visplore.com/home-11-2022-2/
Wiffme,https://wiffme.com,https://wiffme.com/
Sophia Advisory,https://www.hallosophia.com,https://www.hallosophia.com/
Sparcs,https://www.sparcs.app,https://sparcs.info/
THT Biomaterials,https://tht-biomaterials.com,https://tht-biomaterials.com/
Luga UP,https://www.lugaup.com,https://lugaup.com/
akedis Innovations,https://www.akedis.cc,https://www.akedis.cc/
Crypto Ape,https://thecryptoape.com,https://www.coinbase.com/de/price/apecoin
LawStar,https://lawstar.at,https://www.lawstar.at/
Inoqo,http://www.inoqo.com,https://www.inoqo.com/
Probando,https://www.probando.io/#,https://www.probando.io/
Secondra.com,https://secondra.com,https://www.digitalregional.at/wien/1150/dienstleistungen/secondra-com-gmbh
TeleDoc,https://myteledoc.app,https://www.wienerstaedtische.at/service/teledoc.html
Circly,https://www.circly.at,https://www.circly.at/
VR Motion Learning,https://www.vr-motion-learning.com,https://www.vr-motion-learning.com/
Reisenbauer Solutions,https://reisenbauer.solutions,https://reisenbauer.solutions/
Smart Inspection,http://www.smartinspection.eu,https://smartinspection.eu/
Shoepy,https://www.shoepy.at,https://www.eu-startups.com/directory/shoepy/
kontractory,https://kontractory.com,https://kontractory.at/
Glacier,https://glacier.eco,https://glacier.eco/
Gateway Labs,https://www.gatewaylabs.co,https://www.gatewaylabs.co/
devjobs.at IT-Recruiting,https://devjobs.at,https://devjobs.at/
TMIA GmbH,https://tmia.at,https://www.aws.at/service/cases/gefoerderte-projekte-auswahl/deeptech/seedfinancing/default-bc885ca2a65e4182cd33e003ab81b604/
VARS,https://www.vars.at,https://www.vars.at/de/
Interactive Paper,https://interactivepaper.com,https://www.interactivepaper.com/de
Localrydes,https://www.localrydes.com,https://www.localrydes.com/
Digando,https://www.digando.com,https://www.digando.com/
zerolens,https://zerolens.com,https://www.aws.at/service/cases/gefoerderte-projekte-auswahl/hochtechnologie/zerolens/
AVISIO,https://avisio.ai,https://www.avisio.at/
Celantur,https://www.celantur.com,https://www.celantur.com/
Coinpanion,https://coinpanion.com/en,https://coinpanion.org/
Pixofarm,https://www.pixofarm.com,https://brutkasten.com/artikel/pixofarm-insolvenz
MeetFox,https://meetfox.com/en,https://meetfox.com/en/
World Data Lab,https://worlddata.io,https://worlddatalab.com/
Wood Space,https://www.woodspace.com,https://www.woodspace.com/
Vlinder,https://vlinderclimate.com,https://vlinderclimate.com/
VisualSearch,https://www.visualsearch.at/de,https://www.visualsearch.at/
VIPASO,http://www.vipaso.io,https://vipaso.io/
Viesure Innovation Center,https://viesure.io,https://viesure.io/
vibe moves you,https://vibemovesyou.com,https://vibemovesyou.com/
Veroo,https://www.veroo.io,https://www.veroo-consulting.com/
Uloo.me,https://www.uloo.me,https://at.linkedin.com/company/uloo-me
TTTech Industrial,https://www.tttech-industrial.com,https://www.tttech-industrial.com/
True Live,http://www.true-studios.at,https://www.true-live.com/home
Trever,https://trever.io,https://trever.io/
thinkers.ai,http://www.thinkers.ai,https://thinkers.ai/
Teamstack,https://www.teamstack.com,https://www.teamstack.com/de/single-sign-on
SUPPLiot,https://www.suppliot.eu,https://www.suppliot.eu/
STORE ROOM,https://storeroom.at,https://storeroom.at/
Staymate,https://getstaymate.com,https://staymate.com/
sproof,https://sproof.io,https://www.sproof.com/de
Sprad,https://sprad.io,https://sprad.io/de
SkinScreener,https://skinscreener.com,https://skinscreener.com/
SeaMoX Information Technologies,https://seamox.com,https://seamox.com/en/it-services/
Runple,https://runple.com,https://runple.com/at
Rosterize,https://www.rosterize.aero,https://at.linkedin.com/company/rosterize
Rebel Meat,https://www.rebelmeat.com,https://www.rebel-kids.com/
Read-Coop,https://www.readcoop.eu,https://readcoop.eu/de/
Quantego,http://www.quantego.com,https://quantego.org/
Qapture,http://www.qapture.at,https://www.qapture.at/
pivot.earth,https://pivot.earth,https://thepivot.earth/
OuMaiGou,https://www.oumaigou.eu,https://www.firmenabc.at/oumaigou-gmbh_OiPw
OTEREA,https://oterea.com,https://oterea.com/de/buro-fur-technische-und-okologische-immobilienberatung/
Novasign,https://www.novasign.at,https://novasign.at/
NEXTPART Security Intelligence,https://www.nextpart.io,https://www.eu-startups.com/directory/nextpart-security-intelligence/
MADiscover,https://www.madiscover.com,https://www.madiscover.com/
Lunixo,http://www.lunixo.com,https://www.lunixo.com/
Legitary,https://www.legitary.com,https://www.legitary.com/
Kern Tec,https://kern-tec.com/en,https://www.kern-tec.com/
Imperion,https://www.imperion.eu,https://www.imperion.de/
Gradient Zero,https://gradient0.com,https://gradient0.com/
ForgTin,https://forgtin.com,https://www.pansatori.com/produkt
Flight Levels Academy,https://www.flightlevels.io,https://www.flightlevels.io/
Enery,https://enery.energy,https://enery.energy/
Eberhart,http://www.eberhartgmbh.com,https://de.wikipedia.org/wiki/Eberhart
e.battery systems,https://e-batterysystems.com,https://e-batterysystems.com/en/
Dreamwaves,https://www.dreamwaves.io,https://www.dreamwaves.io/
Digital Moulds,https://www.digitalmoulds.com,https://digitalmoulds.com/
DEKI,https://deki.ai,https://www.kompetenznetzwerk-deki.de/
DECIDEA – make good decisions,https://www.decidea.com,https://www.decidea.com/
condignum,https://www.condignum.com,https://www.condignum.com/
Coders.Bay,https://www.codersbay.at,https://www.codersbay.at/
Chatcloud,https://www.chatcloud.net,https://www.chatcloud.net/
Brickwise,https://brickwise.at,https://www.brickwise.at/
Bonrepublic,https://bonrepublic.com,https://www.bonrepublic.com/de/
BirdShades,http://www.birdshades.com,https://www.birdshades.com/de/startseite/
ARTI,https://arti-robots.com,https://www.arti.at/
Alveri,https://alveri.at,https://alveri.at/
AlbaJet Charter,https://www.albajet.com,https://www.albajet.at/
AISEMO,https://www.aisemo.com,https://www.aisemo.com/en/
a:head bio,https://aheadbio.com,https://aheadbio.com/
Krew,https://krew.at,https://www.youtube.com/@KREW
Liquidary.com,https://www.liquidary.com,https://www.crunchbase.com/organization/liquidary-com
Joinpoints,https://www.joinpoints.net,https://www.joinpoints.io/
i4SEE TECH,https://i4see.tech,https://www.aws.at/service/cases/gefoerderte-projekte-auswahl/hochtechnologie/i4see-tech/
MLReef,https://about.mlreef.com,https://www.mlreef.com/
Gropyus,https://gropyus.com,https://www.gropyus.com/de
OE Service,https://www.oeservice.eu,https://www.oeservice.eu/
fiskaly,https://fiskaly.com,https://www.fiskaly.com/de
Fauna,https://wearfauna.com,https://de.wikipedia.org/wiki/Fauna
Pow Wow Entertainment,https://www.pow-wow.com,https://at.linkedin.com/company/pow-wow-entertainment
Pregenerate,https://www.pregenerate.net,https://www.aws.at/service/cases/gefoerderte-projekte-auswahl/hochtechnologie/pregenerate/
QUANTRO Therapeutics,http://www.quantro-tx.com,https://quantro-tx.com/
S1Seven,http://www.s1seven.com,https://www.s1seven.com/
Dejure Technologies,https://www.dejuretechnologies.com,https://dejuretechnologies.com/
Sarcura,https://sarcura.com,https://sarcura.com/
